Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,17.7,15.4,4.3,1.15,50.2,11.4,247.0,2091647
Omen,14.6,15.0,6.1,0.98,48.7,9.7,203.0,1771041
Jett,17.1,15.6,3.6,1.1,49.8,8.4,239.0,1528874
Sage,13.2,14.8,6.8,0.89,49.7,8.1,186.0,1488546
Cypher,14.2,14.3,4.8,1.0,49.7,7.3,196.0,1333147
Raze,16.1,15.7,4.5,1.03,49.1,6.4,233.0,1168602
Skye,13.7,14.9,7.2,0.92,48.9,6.1,193.0,1112244
Killjoy,14.0,14.3,3.7,0.98,49.4,4.9,198.0,889330
Brimstone,14.1,14.8,7.8,0.95,50.1,4.8,203.0,885576
Sova,14.2,14.6,5.2,0.98,49.3,4.3,201.0,784966
Chamber,16.0,14.7,3.1,1.08,48.8,3.8,219.0,695271
Phoenix,16.7,15.2,4.5,1.1,50.3,3.2,237.0,591867
Gekko,13.7,15.0,4.9,0.91,49.6,3.1,191.0,568405
Viper,14.2,14.6,5.0,0.98,49.2,2.9,200.0,531695
Iso,15.9,16.0,4.1,0.99,45.8,2.6,226.0,474203
Breach,14.2,15.3,6.1,0.93,48.3,2.4,200.0,434346
KAY/O,13.7,15.4,8.2,0.89,45.7,2.2,198.0,411123
Fade,13.8,15.0,6.1,0.92,48.7,1.9,194.0,347971
Neon,15.8,16.1,4.0,0.98,47.7,1.7,224.0,318119
Yoru,15.4,15.5,4.2,1.0,46.6,1.7,216.0,309700
Astra,14.9,14.5,5.8,1.03,49.6,1.3,206.0,241546
Deadlock,14.5,14.9,4.0,0.97,48.6,0.9,201.0,172339
Harbor,13.6,15.1,5.5,0.9,46.0,0.7,190.0,136171
