Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,17.4,15.9,3.5,1.1,49.7,11.1,240.0,1394657
Reyna,17.8,15.6,4.3,1.14,50.3,10.8,245.0,1357570
Omen,14.9,15.1,6.8,0.99,48.9,10.1,204.0,1267223
Cypher,14.6,14.4,4.7,1.01,50.0,7.8,199.0,978570
Raze,16.6,16.0,4.4,1.04,49.3,6.8,236.0,849352
Skye,14.2,15.1,7.3,0.94,49.1,6.4,197.0,806749
Sage,13.8,14.9,6.9,0.92,50.2,6.0,191.0,752460
Sova,14.6,14.6,5.4,1.0,49.9,5.2,204.0,650447
Killjoy,14.5,14.4,3.5,1.0,49.4,4.8,200.0,597046
Brimstone,14.4,14.9,8.5,0.97,50.7,4.4,204.0,554626
Chamber,16.4,14.9,3.0,1.1,48.8,4.4,221.0,547851
Viper,14.6,14.6,5.1,1.0,49.6,3.0,203.0,373000
Phoenix,17.2,15.5,4.5,1.11,50.8,2.9,240.0,367706
Gekko,14.0,15.0,5.0,0.93,49.9,2.5,192.0,316550
Breach,14.4,15.4,6.7,0.94,48.1,2.4,200.0,301786
Iso,16.3,16.2,4.1,1.0,45.4,2.3,228.0,283431
KAY/O,14.2,15.5,8.6,0.92,45.5,2.1,202.0,265660
Astra,15.3,14.7,6.3,1.04,49.6,1.7,208.0,211435
Fade,14.3,15.0,6.2,0.95,49.0,1.6,198.0,205781
Yoru,16.1,15.7,4.2,1.03,47.5,1.3,222.0,168160
Neon,16.0,16.3,4.0,0.98,47.3,1.1,224.0,138408
Deadlock,15.1,15.0,4.0,1.01,48.9,0.6,205.0,78250
Harbor,14.0,15.2,5.6,0.92,45.8,0.6,193.0,73148
