Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,17.3,15.9,3.4,1.09,49.4,11.5,237.0,1271655
Reyna,17.6,15.6,4.3,1.13,50.0,10.4,242.0,1148268
Omen,14.8,15.1,6.9,0.98,48.7,10.2,202.0,1135069
Cypher,14.6,14.5,4.6,1.0,49.7,8.1,197.0,898821
Raze,16.5,16.0,4.4,1.03,49.1,6.8,235.0,755876
Skye,14.2,15.1,7.3,0.94,48.9,6.7,195.0,736521
Sage,13.8,15.0,6.9,0.92,50.1,5.6,191.0,624489
Sova,14.6,14.6,5.5,0.99,49.7,5.4,202.0,600546
Killjoy,14.5,14.5,3.5,1.0,49.4,4.8,199.0,533425
Chamber,16.3,15.0,2.9,1.09,48.7,4.4,219.0,491308
Brimstone,14.4,14.9,8.7,0.96,50.5,4.3,203.0,478347
Viper,14.6,14.7,5.1,0.99,49.2,3.0,201.0,332947
Phoenix,17.1,15.5,4.5,1.1,50.5,2.8,238.0,310138
Gekko,14.0,15.1,5.0,0.93,49.7,2.4,191.0,269639
Breach,14.3,15.4,6.8,0.93,48.2,2.4,198.0,265689
Iso,16.1,16.2,4.1,0.99,44.9,2.1,225.0,237333
KAY/O,14.1,15.5,8.7,0.91,45.1,2.1,201.0,235108
Astra,15.2,14.7,6.5,1.03,49.4,1.8,207.0,195413
Fade,14.3,15.1,6.3,0.95,48.8,1.6,197.0,176580
Yoru,16.0,15.7,4.2,1.02,47.1,1.3,221.0,144271
Neon,15.9,16.4,4.0,0.97,47.2,1.0,222.0,108892
Deadlock,15.1,15.0,4.0,1.01,49.3,0.6,204.0,62600
Harbor,13.9,15.3,5.6,0.91,45.7,0.6,191.0,61156
