Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,17.4,16.1,3.2,1.08,49.3,15.6,235.0,223351
Omen,14.8,15.0,8.1,0.99,49.0,11.0,201.0,158159
Reyna,17.6,15.7,4.1,1.12,50.4,10.0,238.0,144051
Cypher,15.0,14.7,4.5,1.02,49.9,9.9,199.0,141724
Raze,16.9,16.2,4.2,1.04,49.4,7.6,236.0,109437
Sova,14.8,14.7,5.7,1.01,50.0,7.5,203.0,108283
Skye,14.4,15.1,7.6,0.96,49.3,7.4,196.0,105987
Killjoy,15.2,14.6,3.2,1.05,49.7,5.4,205.0,76829
Chamber,16.6,15.2,2.6,1.1,48.1,3.5,220.0,50432
Brimstone,14.8,15.0,9.7,0.99,50.7,3.3,206.0,47074
Viper,14.9,14.8,5.1,1.01,49.5,3.2,202.0,45953
Phoenix,17.1,15.7,4.6,1.09,51.2,2.2,236.0,30945
Sage,14.8,15.0,6.9,0.99,51.1,2.0,203.0,29383
Astra,15.5,14.7,7.4,1.05,49.6,1.9,208.0,27088
Breach,14.5,15.2,7.8,0.95,48.4,1.7,197.0,25008
KAY/O,14.5,15.6,9.5,0.93,44.7,1.5,203.0,21301
Gekko,14.5,15.0,5.2,0.96,49.0,1.4,194.0,20719
Yoru,16.2,15.8,4.2,1.02,49.0,1.3,221.0,18909
Iso,16.5,16.3,4.0,1.01,46.0,1.3,227.0,18092
Fade,14.8,15.0,6.7,0.99,49.7,1.2,200.0,17562
Neon,16.4,16.5,4.0,0.99,47.8,0.5,225.0,7041
Deadlock,15.9,14.9,4.0,1.07,52.8,0.3,212.0,3834
Harbor,14.2,15.4,6.1,0.92,44.9,0.2,192.0,3086
