Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,18.1,15.2,4.4,1.19,51.0,12.1,253.0,2247208
Omen,14.8,14.9,5.9,1.0,49.1,9.5,207.0,1768638
Sage,13.4,14.7,6.8,0.91,50.2,8.3,189.0,1548957
Jett,17.4,15.4,3.6,1.13,50.4,8.0,244.0,1495984
Cypher,14.4,14.2,4.8,1.01,50.2,7.1,200.0,1321935
Raze,16.4,15.6,4.6,1.05,49.8,6.4,237.0,1187658
Skye,13.9,14.8,7.2,0.93,49.3,5.8,196.0,1087640
Brimstone,14.3,14.7,7.7,0.97,50.5,4.9,206.0,903843
Killjoy,14.2,14.2,3.8,1.0,50.0,4.8,201.0,889820
Sova,14.3,14.5,5.2,0.99,49.7,4.1,204.0,758080
Chamber,16.1,14.6,3.2,1.11,49.2,3.6,222.0,673909
Phoenix,16.9,15.1,4.5,1.12,50.7,3.4,241.0,629104
Gekko,13.8,14.9,4.9,0.93,50.0,3.2,194.0,596877
Viper,14.4,14.5,5.0,0.99,49.4,2.9,204.0,536269
Iso,16.2,15.9,4.2,1.02,46.5,2.7,231.0,503388
Breach,14.4,15.2,6.0,0.95,48.8,2.3,204.0,428076
KAY/O,13.9,15.3,8.2,0.91,46.2,2.2,201.0,411320
Neon,16.1,16.0,4.0,1.01,48.2,1.9,229.0,361262
Fade,13.9,14.9,6.1,0.93,49.3,1.9,197.0,357322
Yoru,15.7,15.4,4.2,1.02,47.3,1.8,220.0,338501
Astra,15.1,14.4,5.7,1.05,49.8,1.2,210.0,224735
Deadlock,14.7,14.8,4.1,0.99,49.2,1.0,204.0,186449
Harbor,13.7,15.0,5.5,0.91,46.7,0.8,193.0,143814
