Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,16.7,15.0,4.5,1.11,50.2,11.5,239.0,1436370
Sage,12.5,14.5,6.6,0.86,49.7,10.3,181.0,1283004
Omen,14.0,14.8,5.3,0.95,48.8,9.0,199.0,1122113
Cypher,13.5,14.1,4.9,0.96,49.9,6.5,191.0,806352
Raze,15.0,15.3,4.7,0.98,49.1,6.0,222.0,754816
Skye,12.9,14.7,7.0,0.87,48.9,5.8,186.0,724197
Jett,16.0,15.2,3.7,1.06,49.8,5.8,229.0,723580
Brimstone,13.6,14.6,6.9,0.93,49.9,4.6,199.0,573174
Killjoy,13.3,14.0,4.0,0.95,50.3,4.5,194.0,563207
Gekko,12.9,14.8,4.8,0.87,49.3,4.1,184.0,515951
Phoenix,15.4,14.9,4.4,1.03,49.4,3.9,223.0,484855
Sova,13.3,14.5,5.0,0.92,48.8,3.9,193.0,484400
Chamber,14.8,14.5,3.4,1.03,48.6,3.1,209.0,386377
Viper,13.4,14.4,4.9,0.93,48.7,2.9,194.0,357905
Neon,14.9,15.7,4.1,0.95,47.9,2.8,215.0,350997
Iso,14.9,15.6,4.3,0.95,46.6,2.8,217.0,345286
Yoru,14.3,15.2,4.2,0.94,46.6,2.7,204.0,337687
Fade,12.9,14.8,6.0,0.87,48.5,2.5,187.0,309272
KAY/O,12.8,15.1,7.8,0.85,46.2,2.4,190.0,296333
Breach,13.7,15.1,5.6,0.91,49.0,2.0,197.0,248377
Deadlock,13.7,14.7,4.1,0.93,49.1,1.4,194.0,177304
Harbor,12.8,14.9,5.3,0.86,46.6,0.9,184.0,116656
Astra,14.1,14.3,5.2,0.98,49.0,0.8,199.0,100259
