Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,17.3,16.0,3.4,1.08,49.3,12.0,237.0,1181356
Omen,14.8,15.1,7.1,0.98,48.7,10.3,202.0,1012658
Reyna,17.6,15.7,4.2,1.13,50.2,10.2,242.0,1004598
Cypher,14.7,14.5,4.6,1.01,49.8,8.3,198.0,819284
Raze,16.6,16.1,4.4,1.03,49.1,6.9,235.0,680663
Skye,14.2,15.1,7.3,0.94,49.0,6.8,196.0,668494
Sova,14.6,14.7,5.5,1.0,49.9,5.7,203.0,555786
Sage,13.9,15.0,6.9,0.93,50.3,5.1,193.0,501939
Killjoy,14.6,14.5,3.4,1.01,49.5,4.8,200.0,473641
Chamber,16.4,15.0,2.9,1.09,48.4,4.5,219.0,437599
Brimstone,14.4,14.9,8.8,0.97,50.9,4.2,204.0,413382
Viper,14.6,14.7,5.1,1.0,49.4,3.0,201.0,296218
Phoenix,17.1,15.6,4.5,1.1,50.7,2.7,238.0,268397
Breach,14.4,15.4,6.9,0.94,48.4,2.4,198.0,231066
Gekko,14.1,15.1,5.0,0.93,49.6,2.3,192.0,226628
KAY/O,14.2,15.6,8.9,0.91,45.0,2.1,201.0,203498
Iso,16.2,16.3,4.1,0.99,44.7,2.0,226.0,200296
Astra,15.2,14.7,6.6,1.03,49.7,1.8,207.0,179495
Fade,14.4,15.0,6.3,0.95,49.3,1.5,197.0,150947
Yoru,16.0,15.8,4.2,1.02,47.4,1.3,220.0,124762
Neon,15.9,16.4,4.0,0.97,47.5,0.9,222.0,90431
Harbor,13.9,15.3,5.7,0.91,45.4,0.5,191.0,51507
Deadlock,15.2,15.0,4.0,1.01,49.4,0.5,205.0,51415
