Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,17.8,15.6,4.3,1.14,50.3,10.9,246.0,1494505
Jett,17.4,15.8,3.5,1.1,49.6,10.6,240.0,1457745
Omen,14.8,15.1,6.6,0.98,48.9,10.0,204.0,1381437
Cypher,14.6,14.4,4.7,1.01,49.9,7.7,198.0,1055377
Raze,16.5,15.9,4.4,1.04,49.3,6.7,236.0,924478
Sage,13.7,14.9,6.9,0.92,50.1,6.4,190.0,882745
Skye,14.1,15.0,7.2,0.94,49.1,6.4,196.0,874370
Sova,14.6,14.6,5.4,1.0,50.0,5.0,204.0,686736
Killjoy,14.4,14.4,3.5,1.0,49.3,4.8,199.0,657931
Brimstone,14.4,14.9,8.4,0.96,50.6,4.5,204.0,618690
Chamber,16.3,14.9,3.0,1.09,48.8,4.3,220.0,592517
Phoenix,17.1,15.4,4.5,1.11,50.7,3.0,239.0,408500
Viper,14.6,14.6,5.1,1.0,49.6,2.9,202.0,405640
Gekko,14.0,15.0,4.9,0.93,49.7,2.6,192.0,363512
Breach,14.4,15.3,6.5,0.94,48.6,2.4,200.0,333417
Iso,16.2,16.2,4.1,1.0,45.4,2.3,227.0,321498
KAY/O,14.1,15.5,8.6,0.91,45.6,2.2,201.0,298328
Fade,14.2,15.0,6.2,0.95,49.3,1.7,197.0,235652
Astra,15.2,14.7,6.2,1.04,49.7,1.6,208.0,223701
Yoru,15.9,15.6,4.2,1.02,46.9,1.4,220.0,194143
Neon,16.0,16.3,4.0,0.98,47.1,1.2,224.0,166003
Deadlock,15.0,15.0,4.0,1.0,49.1,0.7,204.0,93546
Harbor,13.8,15.2,5.6,0.91,46.1,0.6,191.0,85677
