Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,17.3,16.1,3.3,1.08,49.1,13.9,236.0,840829
Omen,14.9,15.1,7.5,0.99,48.8,10.5,203.0,636197
Reyna,17.6,15.7,4.2,1.12,49.9,10.0,240.0,603041
Cypher,14.9,14.6,4.6,1.02,49.7,9.2,199.0,554021
Raze,16.7,16.2,4.3,1.03,48.9,7.3,235.0,437823
Skye,14.4,15.1,7.4,0.95,48.9,7.1,197.0,427674
Sova,14.7,14.7,5.7,1.0,49.7,6.5,203.0,390372
Killjoy,14.9,14.5,3.3,1.03,49.5,4.8,203.0,288285
Chamber,16.5,15.1,2.8,1.09,48.1,4.3,219.0,258743
Brimstone,14.6,15.0,9.3,0.98,51.1,3.8,205.0,229283
Sage,14.3,15.0,6.9,0.95,50.6,3.6,197.0,217511
Viper,14.8,14.7,5.1,1.01,49.4,3.1,202.0,186129
Phoenix,17.2,15.7,4.6,1.1,50.7,2.5,237.0,149809
Breach,14.4,15.3,7.4,0.94,48.0,2.2,197.0,130187
Astra,15.3,14.8,7.0,1.04,49.0,1.9,207.0,115400
Gekko,14.3,15.1,5.1,0.95,49.3,1.9,193.0,113179
KAY/O,14.5,15.6,9.2,0.92,44.7,1.8,203.0,109200
Iso,16.3,16.3,4.1,1.0,44.6,1.7,226.0,101869
Fade,14.6,15.0,6.5,0.97,49.3,1.4,200.0,81600
Yoru,16.2,15.9,4.3,1.02,47.5,1.3,221.0,78779
Neon,16.1,16.5,4.0,0.98,47.5,0.7,223.0,42877
Harbor,14.2,15.3,5.9,0.93,45.3,0.4,193.0,23545
Deadlock,15.5,15.0,4.0,1.04,49.8,0.4,208.0,22393
