Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Sage,11.4,14.4,6.2,0.79,49.4,11.4,167.0,918270
Reyna,15.3,14.9,4.4,1.03,49.3,11.0,222.0,883012
Omen,13.0,14.8,4.9,0.88,48.4,8.2,187.0,658152
Raze,13.7,15.1,4.6,0.91,48.9,6.0,206.0,485487
Skye,11.8,14.7,6.8,0.81,48.7,5.5,174.0,443954
Cypher,12.6,14.0,4.9,0.9,49.6,5.4,180.0,436996
Jett,14.5,15.0,3.7,0.96,48.8,5.1,210.0,412020
Gekko,11.8,14.8,4.7,0.79,48.5,4.8,171.0,387525
Phoenix,13.9,14.8,4.3,0.94,48.3,4.5,204.0,360490
Sova,12.1,14.5,4.8,0.83,48.0,4.0,178.0,323366
Killjoy,12.2,14.0,4.0,0.88,50.0,4.0,181.0,320636
Brimstone,12.6,14.6,6.4,0.87,49.2,3.9,187.0,316066
Yoru,13.1,15.1,4.1,0.87,46.4,3.8,189.0,308196
Neon,13.5,15.4,4.0,0.88,47.4,3.4,198.0,276680
Fade,11.7,14.8,5.9,0.79,47.9,3.0,173.0,238568
Iso,13.5,15.5,4.2,0.87,46.2,2.9,200.0,233916
Viper,12.3,14.5,4.7,0.85,48.0,2.8,180.0,225747
Chamber,13.6,14.5,3.5,0.94,47.9,2.7,194.0,217393
KAY/O,11.7,15.0,7.5,0.78,46.5,2.5,176.0,200534
Deadlock,12.6,14.7,4.1,0.86,48.6,1.6,181.0,130307
Breach,12.8,14.9,5.3,0.86,48.8,1.6,187.0,128825
Harbor,11.8,14.9,5.1,0.79,46.7,0.9,172.0,73620
Astra,12.9,14.2,4.9,0.91,48.4,0.6,186.0,46317
