Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Sage,10.1,14.1,5.5,0.72,50.4,11.5,150.0,123861
Reyna,13.7,14.4,4.1,0.95,50.0,11.4,202.0,122629
Omen,11.7,14.4,4.2,0.81,49.5,7.4,171.0,80014
Raze,12.3,14.5,4.3,0.85,49.5,6.6,188.0,70792
Yoru,11.7,14.6,3.8,0.8,48.2,5.6,172.0,60271
Jett,12.9,14.4,3.4,0.9,49.7,5.5,192.0,59860
Phoenix,12.2,14.3,3.9,0.86,49.0,5.1,183.0,55429
Gekko,10.6,14.5,4.3,0.73,49.6,4.9,156.0,53442
Skye,10.6,14.3,6.1,0.74,49.6,4.8,159.0,51376
Cypher,11.4,13.7,4.6,0.83,50.8,4.2,166.0,45463
Neon,11.8,14.8,3.6,0.8,47.8,4.2,177.0,45012
Sova,10.9,14.1,4.4,0.77,49.3,4.1,164.0,44720
Iso,11.9,14.9,3.8,0.8,47.8,3.5,179.0,37826
Brimstone,11.4,14.2,5.6,0.81,49.8,3.3,172.0,35962
Killjoy,10.7,13.6,3.7,0.79,51.1,3.0,164.0,32391
Fade,10.3,14.5,5.6,0.71,49.7,3.0,156.0,32056
Viper,10.7,14.2,4.2,0.75,49.1,2.7,161.0,29149
Chamber,12.1,14.1,3.4,0.86,48.4,2.5,177.0,26635
KAY/O,10.5,14.7,7.0,0.72,48.0,2.4,161.0,25783
Deadlock,11.1,14.2,3.7,0.79,49.6,1.8,163.0,18953
Breach,11.6,14.0,4.6,0.83,46.7,1.3,174.0,14078
Harbor,10.4,14.4,4.5,0.72,48.3,0.8,155.0,8968
Astra,11.0,13.1,3.9,0.84,45.7,0.5,167.0,5228
