Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,18.0,15.4,4.3,1.16,50.7,11.5,250.0,1878038
Omen,14.9,15.0,6.3,0.99,49.0,9.8,206.0,1603560
Jett,17.5,15.7,3.5,1.12,50.1,9.7,243.0,1580340
Cypher,14.6,14.3,4.7,1.02,50.0,7.4,200.0,1207145
Sage,13.6,14.8,6.9,0.92,50.2,7.2,190.0,1171778
Raze,16.5,15.8,4.5,1.05,49.5,6.6,237.0,1083159
Skye,14.1,15.0,7.2,0.94,49.2,6.1,197.0,992360
Killjoy,14.3,14.3,3.6,1.0,49.8,4.8,200.0,777881
Brimstone,14.4,14.8,8.1,0.97,50.6,4.7,205.0,766262
Sova,14.6,14.6,5.3,1.0,49.8,4.6,205.0,753329
Chamber,16.3,14.8,3.1,1.11,49.0,4.1,222.0,664301
Phoenix,17.2,15.3,4.5,1.12,50.9,3.2,241.0,515539
Viper,14.6,14.5,5.1,1.0,49.7,2.9,204.0,473583
Gekko,14.0,15.0,4.9,0.93,50.0,2.8,193.0,463397
Iso,16.2,16.1,4.1,1.01,45.9,2.5,230.0,409541
Breach,14.5,15.3,6.3,0.95,48.6,2.4,202.0,391377
KAY/O,14.0,15.4,8.4,0.91,45.6,2.2,201.0,357306
Fade,14.1,15.0,6.1,0.94,49.1,1.7,197.0,285783
Yoru,15.9,15.5,4.2,1.02,47.4,1.5,221.0,250685
Astra,15.3,14.6,6.0,1.05,50.0,1.5,210.0,238917
Neon,16.1,16.2,4.0,0.99,47.8,1.5,226.0,237680
Deadlock,14.9,14.9,4.0,1.0,49.4,0.8,204.0,130770
Harbor,13.8,15.1,5.5,0.92,46.5,0.7,193.0,110727
