Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,17.8,15.2,4.4,1.18,50.7,11.9,251.0,2124967
Omen,14.7,14.9,5.8,0.99,49.0,9.4,206.0,1679418
Sage,13.2,14.6,6.8,0.9,50.1,8.8,188.0,1574322
Jett,17.2,15.4,3.7,1.12,50.2,7.4,242.0,1322892
Cypher,14.2,14.2,4.9,1.0,50.0,7.0,198.0,1256072
Raze,16.1,15.5,4.6,1.04,49.5,6.3,234.0,1120408
Skye,13.7,14.8,7.1,0.92,49.0,5.9,194.0,1043179
Brimstone,14.2,14.7,7.5,0.97,50.4,4.9,205.0,864817
Killjoy,14.0,14.1,3.8,0.99,50.0,4.8,200.0,850532
Sova,14.1,14.5,5.2,0.97,49.5,4.0,202.0,704654
Chamber,15.9,14.6,3.3,1.09,48.9,3.5,220.0,624744
Phoenix,16.7,15.1,4.5,1.11,50.4,3.5,238.0,616025
Gekko,13.7,14.9,4.9,0.92,49.8,3.4,192.0,605722
Viper,14.2,14.5,5.0,0.98,49.4,2.9,202.0,515051
Iso,16.0,15.8,4.2,1.01,46.5,2.7,229.0,482332
Breach,14.3,15.2,5.9,0.94,48.7,2.3,202.0,403937
KAY/O,13.6,15.2,8.1,0.89,46.3,2.3,198.0,401742
Neon,15.9,15.9,4.0,1.0,48.2,2.1,227.0,380981
Fade,13.7,14.9,6.1,0.92,49.2,2.0,195.0,358940
Yoru,15.4,15.3,4.2,1.01,47.1,2.0,218.0,352398
Astra,14.9,14.4,5.6,1.03,49.6,1.1,208.0,200158
Deadlock,14.5,14.8,4.1,0.98,48.6,1.1,202.0,195245
Harbor,13.6,15.0,5.4,0.9,46.7,0.8,192.0,145295
