Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,17.5,16.1,3.1,1.08,50.1,16.1,235.0,219381
Omen,14.9,15.0,8.2,0.99,49.8,11.1,201.0,152119
Cypher,15.2,14.7,4.4,1.03,50.2,9.9,200.0,135045
Reyna,17.7,15.7,4.1,1.12,51.2,9.7,239.0,132556
Raze,17.0,16.2,4.2,1.05,50.2,8.1,238.0,110870
Sova,15.0,14.7,5.7,1.02,50.0,8.1,204.0,110401
Skye,14.6,15.1,7.7,0.97,49.5,7.5,196.0,102664
Killjoy,15.5,14.7,3.1,1.06,50.2,5.9,207.0,80097
Viper,15.1,14.8,5.2,1.02,50.0,3.3,204.0,45368
Brimstone,14.8,14.9,9.9,0.99,51.0,3.1,206.0,42369
Chamber,16.9,15.1,2.5,1.11,48.8,2.9,221.0,39792
Phoenix,17.3,15.7,4.7,1.1,52.3,2.0,237.0,27138
Astra,15.5,14.8,7.5,1.05,49.8,1.8,208.0,25223
Sage,15.1,15.0,6.9,1.0,52.4,1.6,205.0,22219
Breach,14.5,15.3,8.1,0.95,48.5,1.5,196.0,21051
Gekko,14.6,15.1,5.3,0.97,50.0,1.4,194.0,19787
KAY/O,14.6,15.7,9.8,0.93,45.8,1.4,203.0,19230
Yoru,16.4,16.0,4.4,1.02,49.0,1.4,221.0,18592
Fade,15.0,15.1,6.7,0.99,50.6,1.2,201.0,16628
Iso,16.8,16.3,4.0,1.04,47.0,1.0,230.0,13956
Neon,16.7,16.5,4.1,1.01,50.3,0.4,229.0,6014
Deadlock,16.0,15.0,4.1,1.06,52.3,0.3,209.0,3921
Harbor,14.5,15.2,6.1,0.95,46.3,0.2,194.0,2201
