Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Reyna,17.3,15.0,4.4,1.15,51.0,11.9,246.0,1671077
Sage,12.9,14.5,6.7,0.89,50.2,9.7,185.0,1358006
Omen,14.4,14.8,5.5,0.97,49.2,9.2,203.0,1298561
Cypher,13.9,14.1,4.9,0.99,50.1,6.8,196.0,949184
Jett,16.6,15.2,3.7,1.09,50.4,6.3,236.0,889644
Raze,15.6,15.4,4.7,1.01,49.7,6.1,229.0,860660
Skye,13.3,14.7,7.1,0.9,49.3,5.8,191.0,819963
Brimstone,13.9,14.6,7.2,0.95,50.3,4.8,203.0,669125
Killjoy,13.7,14.0,3.9,0.98,50.3,4.7,198.0,654308
Sova,13.7,14.5,5.1,0.95,49.4,3.8,198.0,535579
Gekko,13.3,14.8,4.9,0.9,49.9,3.8,189.0,533445
Phoenix,16.0,14.9,4.5,1.08,50.2,3.7,231.0,519419
Chamber,15.4,14.5,3.4,1.06,48.8,3.2,215.0,454034
Viper,13.9,14.4,5.0,0.96,49.2,2.9,199.0,401256
Iso,15.4,15.7,4.2,0.98,46.9,2.7,223.0,385895
Neon,15.5,15.7,4.1,0.98,48.5,2.5,222.0,357188
Yoru,14.8,15.2,4.2,0.98,47.1,2.4,211.0,331917
KAY/O,13.3,15.1,7.9,0.88,46.4,2.3,195.0,323178
Fade,13.4,14.8,6.1,0.9,49.0,2.3,192.0,316564
Breach,14.0,15.1,5.7,0.93,49.1,2.1,201.0,293858
Deadlock,14.1,14.7,4.1,0.96,49.1,1.3,199.0,184505
Astra,14.6,14.3,5.4,1.02,49.7,0.9,205.0,128287
Harbor,13.2,14.9,5.4,0.89,46.9,0.9,189.0,124765
