Agent,Kill,Death,Assist,K/D,Win%,Pick%,Avg. Score,Matches
Jett,17.4,16.1,3.3,1.08,49.2,14.5,236.0,607973
Omen,14.9,15.1,7.7,0.99,48.9,10.7,202.0,448983
Reyna,17.6,15.7,4.2,1.12,50.3,10.1,239.0,421651
Cypher,14.9,14.6,4.6,1.02,49.9,9.4,199.0,394499
Raze,16.7,16.2,4.3,1.04,49.2,7.2,236.0,302520
Skye,14.5,15.1,7.4,0.96,49.2,7.2,197.0,302148
Sova,14.7,14.7,5.7,1.0,49.7,6.8,203.0,283801
Killjoy,15.0,14.5,3.3,1.03,49.7,4.9,204.0,203902
Chamber,16.5,15.1,2.7,1.09,48.0,4.1,220.0,170220
Brimstone,14.6,15.0,9.4,0.98,50.9,3.7,205.0,153910
Sage,14.5,15.0,6.9,0.96,50.8,3.1,199.0,131421
Viper,14.8,14.7,5.1,1.01,49.6,3.1,202.0,130844
Phoenix,17.2,15.6,4.6,1.1,50.7,2.4,238.0,99188
Breach,14.4,15.3,7.5,0.94,48.4,2.0,197.0,84978
Astra,15.4,14.8,7.1,1.05,49.4,2.0,208.0,81989
Gekko,14.3,15.0,5.1,0.95,49.9,1.7,193.0,73165
KAY/O,14.5,15.6,9.3,0.93,44.9,1.7,204.0,70198
Iso,16.4,16.3,4.1,1.01,44.9,1.6,226.0,66191
Fade,14.7,15.0,6.5,0.98,49.4,1.3,200.0,54763
Yoru,16.3,15.8,4.3,1.03,48.5,1.3,223.0,54659
Neon,16.2,16.6,4.1,0.98,47.6,0.6,224.0,26206
Harbor,14.2,15.3,6.0,0.93,44.9,0.3,193.0,14008
Deadlock,15.7,15.0,4.1,1.05,49.2,0.3,210.0,13774
